sample_id,chart_id,chart_kind,question_type,operation,question,status,failure_stage,semantic_targets,detected_x_labels,selected_targets,y_axis_ticks,geometry_values,numeric_answer,reasoning,geometry_prediction,gold,tolerance,geometry_correct,raw_vlm_correct,fallback_correct
1797,816025c1cd5d4559b5709d33e9fe5a6f2fd61b90ebaea1c1716ec73cc83e4800,line,numerical,difference,How much did the EBITDA margin decrease from 2QFY23 to 3QFY24?,success,,"[""2QFY23"", ""3QFY24""]","[""2QFY23"", ""3QFY24""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 45, ""median_residual"": 0.12354377153883433, ""side"": ""all"", ""slope"": -0.9793713099385468, ""target_y"": 163.73205539803098, ""x_max"": 727.0, ""x_min"": 681.0}, {""inlier_count"": 23, ""median_residual"": 0.1646622312201913, ""side"": ""left"", ""slope"": -0.9573311156100975, ""target_y"": 163.91034518876813, ""x_max"": 704.0, ""x_min"": 681.0}, {""inlier_count"": 24, ""median_residual"": 2.842170943040401e-14, ""side"": ""right"", ""slope"": -1.0000000000000024, ""target_y"": 164.00000000000006, ""x_max"": 727.0, ""x_min"": 704.0}], ""local_columns"": 47, ""local_fit_residual_pixels"": 2.842170943040401e-14, ""method"": ""auto_x_local_line_fit"", ""point"": [704.0, 163.9551725943841], ""score"": 0.9999999999999716, ""search_window"": [681.0, 727.0], ""target_x"": 704.0, ""target_y"": 163.9551725943841, ""window_half_width"": 22.08}, {""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 43, ""median_residual"": 0.4276275191037371, ""side"": ""all"", ""slope"": 6.079829837920223, ""target_y"": 257.6083081674228, ""x_max"": 963.0, ""x_min"": 917.0}, {""inlier_count"": 20, ""median_residual"": 0.39922486577697214, ""side"": ""left"", ""slope"": 6.039807936291901, ""target_y"": 257.20904656085014, ""x_max"": 940.0, ""x_min"": 917.0}, {""inlier_count"": 24, ""median_residual"": 0.4583631117681932, ""side"": ""right"", ""slope"": 6.084676935497029, ""target_y"": 257.6115937567979, ""x_max"": 963.0, ""x_min"": 940.0}], ""local_columns"": 47, ""local_fit_residual_pixels"": 0.39922486577697214, ""method"": ""auto_x_local_line_fit"", ""point"": [940.0, 257.410320158824], ""score"": 0.7146814100139025, ""search_window"": [917.0, 963.0], ""target_x"": 940.0, ""target_y"": 257.410320158824, ""window_half_width"": 22.8}]","[{""bbox"": [18.0, 18.0, 83.0, 43.0], ""confidence"": 0.9957453779181454, ""pixel_y"": 30.5, ""text"": ""25.0%"", ""value"": 25.0}, {""bbox"": [18.0, 98.0, 83.0, 125.0], ""confidence"": 0.9637002479904815, ""pixel_y"": 111.5, ""text"": ""20.0%"", ""value"": 20.0}, {""bbox"": [18.0, 180.0, 85.0, 205.0], ""confidence"": 0.9991824741086277, ""pixel_y"": 192.5, ""text"": ""15.0%"", ""value"": 15.0}, {""bbox"": [18.0, 260.0, 85.0, 286.0], ""confidence"": 0.9985685580430762, ""pixel_y"": 273.0, ""text"": ""10.0%"", ""value"": 10.0}, {""bbox"": [30.0, 340.0, 85.0, 366.0], ""confidence"": 0.925101101398468, ""pixel_y"": 353.0, ""text"": ""5.0%"", ""value"": 5.0}, {""bbox"": [28.0, 422.0, 83.0, 446.0], ""confidence"": 0.9966985960361432, ""pixel_y"": 434.0, ""text"": ""0.0%"", ""value"": 0.0}, {""bbox"": [23.0, 502.0, 83.0, 528.0], ""confidence"": 0.7107249671305771, ""pixel_y"": 515.0, ""text"": ""-5.0%"", ""value"": -5.0}]","[16.744679526957768, 10.952876870544923]",5.791802656412845,"{""executor"": ""python"", ""formula"": ""difference"", ""numeric_answer"": 5.791802656412845}",5.791802656412845,1,2.0,0,0,0
1929,b20caa557109db5bc3ccaf8afce8d902baea1c479f7326ba6b60baa8e6e5bc95,line,single_choice,direct,What was the percentage growth of customer deposits in 1Q20?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,B,,0,1,1
2026,2df03ca835cf3c49832fe230e80cc3804da9c437af070e69ae05dbb2ba66e371,bar,single_choice,direct,What was the percentage for OEM in FY21?,direct_data_value_or_numeric_annotation_present,bar_chart_analysis,[],[],[],[],[],,{},,A,,0,1,1
2134,f215a32284ca82e867cb9539593f5ee7365d685478e64883a3e34a14b3848014,line,single_choice,direct,What was the approximate P/E ratio for Uno Minda in February 2020?,ambiguous_series,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,1,1
2142,7b9a609ec1bfa1188fa5628eea3dd5637d11ebc14eaf86f2e3b72179a2ec4d38,line,single_choice,direct,What was the US Effective Tax Rate around the year 1990?,line_localization_failed,x_grounding_or_line_fit,[],[],[],[],[],,{},,B,,0,1,1
2164,4ea83410fe19bf13b4bc6029680a6d1d9f711d66c227b1e6488b5455e32f3aec,bar,single_choice,difference,What was the revenue difference between 1QFY18 and 1QFY24?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,A,,0,1,1
2168,1a07d6768ce43cafb7d41d68bba02fffbcba7ba6196473d8a0ec4f08a18cd606,line,numerical,difference,What is the difference in P/E between August 2021 and February 2022?,ambiguous_series | ambiguous_series,x_grounding_or_line_fit,[],[],[],[],[],,{},,12.5,2.0,0,1,1
2330,8f51f59c04f31cd519ec250a35dc742d57d40793cd23d63727f480a5797102bd,line,numerical,growth_rate,What is the approximate percentage increase in the closing price from July 2021 to January 2024?,x_grounding_unrecoverable | x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,75,5.0,0,1,1
2363,83aa7f614c60dce753a4f4be142634809b6f072946315bc50411be12f3148598,line,numerical,direct,What is the value for the integrated player category in 2023?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,0,0.5,0,0,0
2392,6396dbb646b4e53512a9fbb158f53ad93af8ef499fbfabcbeee32dd30366def1,line,single_choice,direct,What was the non-interest income as a percentage of operating income in 1Q15?,success,,"[""1Q15""]","[""1Q15""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 27, ""median_residual"": 0.16158318513728887, ""side"": ""all"", ""slope"": -0.20854594614907215, ""target_y"": 239.41413453892616, ""x_max"": 135.0, ""x_min"": 108.0}, {""inlier_count"": 4, ""median_residual"": 0.12371864515074549, ""side"": ""left"", ""slope"": 0.15013674980571207, ""target_y"": 239.5989237698593, ""x_max"": 111.0, ""x_min"": 108.0}, {""inlier_count"": 24, ""median_residual"": 0.15131643563387343, ""side"": ""right"", ""slope"": -0.21827919393931416, ""target_y"": 239.55238756896634, ""x_max"": 135.0, ""x_min"": 111.0}], ""local_columns"": 28, ""local_fit_residual_pixels"": 0.12371864515074549, ""method"": ""auto_x_local_line_fit"", ""point"": [111.0, 239.5756556694128], ""score"": 0.8899024718646109, ""search_window"": [90.0, 135.0], ""target_x"": 111.0, ""target_y"": 239.5756556694128, ""window_half_width"": 23.04}]","[{""bbox"": [30.0, 30.0, 78.0, 68.0], ""confidence"": 0.9999954481433951, ""pixel_y"": 49.0, ""text"": ""35"", ""value"": 35.0}, {""bbox"": [29.0, 110.0, 78.0, 148.0], ""confidence"": 0.6115339383362132, ""pixel_y"": 129.0, ""text"": ""30"", ""value"": 30.0}, {""bbox"": [29.0, 192.0, 78.0, 230.0], ""confidence"": 0.9999994942378553, ""pixel_y"": 211.0, ""text"": ""25"", ""value"": 25.0}, {""bbox"": [30.0, 272.0, 78.0, 310.0], ""confidence"": 0.9136382026104265, ""pixel_y"": 291.0, ""text"": ""20"", ""value"": 20.0}, {""bbox"": [32.0, 352.0, 78.0, 390.0], ""confidence"": 0.9999929193367925, ""pixel_y"": 371.0, ""text"": ""15"", ""value"": 15.0}, {""bbox"": [30.0, 433.0, 78.0, 470.0], ""confidence"": 0.9999978926582248, ""pixel_y"": 451.5, ""text"": ""10"", ""value"": 10.0}]",[23.173107991369577],23.173107991369577,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 23.173107991369577, ""option_values"": [[""A"", 24.0, ""24%""], [""B"", 25.0, ""25%""], [""C"", 22.0, ""22%""], [""D"", 23.0, ""23%""]], ""selected_option"": ""D""}",D,B,,0,0,0
2429,e4d2a8d715bb3192630992370aaf4ac8883cf53870a21eb525b226bd52b8e9ea,line,single_choice,direct,What was the commercial paper issuance value in Jun-22?,success,,"[""Jun-22""]","[""Jun-22""]","[{""both_sides"": 0, ""chart_type"": ""line"", ""fit_mode"": ""global_robust"", ""fitted_segments"": [{""inlier_count"": 18, ""median_residual"": 0.5642503684368023, ""side"": ""all"", ""slope"": -3.2875135173079895, ""target_y"": 371.2581152655547, ""x_max"": 182.0, ""x_min"": 161.0}], ""local_columns"": 22, ""local_fit_residual_pixels"": 0.5642503684368023, ""method"": ""auto_x_local_line_fit"", ""point"": [161.5, 371.2581152655547], ""score"": 0.6392838513436484, ""search_window"": [143.0, 182.0], ""target_x"": 161.5, ""target_y"": 371.2581152655547, ""window_half_width"": 19.919999999999998}]","[{""bbox"": [40.0, 97.0, 131.0, 139.0], ""confidence"": 0.9998410753926302, ""pixel_y"": 118.0, ""text"": ""1,000"", ""value"": 1000.0}, {""bbox"": [65.0, 153.0, 131.0, 191.0], ""confidence"": 0.9995413608585064, ""pixel_y"": 172.0, ""text"": ""900"", ""value"": 900.0}, {""bbox"": [65.0, 211.0, 131.0, 247.0], ""confidence"": 0.9997582198806338, ""pixel_y"": 229.0, ""text"": ""800"", ""value"": 800.0}, {""bbox"": [67.0, 267.0, 131.0, 305.0], ""confidence"": 0.9997743245468785, ""pixel_y"": 286.0, ""text"": ""700"", ""value"": 700.0}, {""bbox"": [65.0, 325.0, 131.0, 361.0], ""confidence"": 0.9998591843238325, ""pixel_y"": 343.0, ""text"": ""600"", ""value"": 600.0}, {""bbox"": [65.0, 494.0, 131.0, 532.0], ""confidence"": 0.9999611825102453, ""pixel_y"": 513.0, ""text"": ""300"", ""value"": 300.0}, {""bbox"": [65.0, 552.0, 131.0, 590.0], ""confidence"": 0.999909219697237, ""pixel_y"": 571.0, ""text"": ""200"", ""value"": 200.0}, {""bbox"": [69.0, 608.0, 131.0, 646.0], ""confidence"": 0.9998925641436717, ""pixel_y"": 627.0, ""text"": ""100"", ""value"": 100.0}]",[550.5348735837225],550.5348735837225,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 550.5348735837225, ""option_values"": [[""A"", 500.0, ""Around 500 INR billion""], [""B"", 600.0, ""Around 600 INR billion""], [""C"", 700.0, ""Around 700 INR billion""], [""D"", 400.0, ""Around 400 INR billion""]], ""selected_option"": ""B""}",B,A,,0,0,0
2434,312c6acdb8bd2e9509ed258934f64626cd86fe76c5d87243194413cb596ea820,bar,numerical,direct,Calculate the change in percentage of sedans from Dec-21 to Dec-23.,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,60,5.0,0,0,0
2456,b303d93a723c60915ec7cbc6a0731836d65c863d5b067fafb5746c400fea7b34,bar,single_choice,direct,What is the non-interest income growth percentage in 1Q16?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,B,,0,1,1
2462,5d0329828cf3c90b8d1ed36befc86372e946380adbd455bae1c5f044c38c86a6,line,single_choice,direct,What is the closing price of THK stock around April 2023?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,D,,0,1,1
2498,941cdc66087a34730abc4e031ba84d69fc5b236022900489ae23a0f9634c05b0,bar,single_choice,direct,What was the penetration rate of the Purley platform in 1Q20?,x_axis_labels_unreadable_or_grouped_bars,bar_chart_analysis,[],[],[],[],[],,{},,A,,0,1,1
2629,4f2022a6b4fb5f982c1df7550e9d6353af5d4db101529c4fe268a4f62c45c7e3,line,single_choice,direct,What is the GDP growth target for the year 2024 based on the chart?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,1,1
2683,9794f705b05ccae3e56ec94da386da7a6bc0727330f77ea68fe0ecfd28f1ab70,line,numerical,growth_rate,What is the approximate percentage increase in closing price from July 2021 to January 2024?,x_grounding_unrecoverable | x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,45,3.0,0,0,0
2780,4f597a5ac3925a427cc6655246d146e361982a9f623b2409dd6c0c33c8747f6a,line,single_choice,direct,What was the GMV for 3QFY23?,success,,"[""3QFY23""]","[""3QFY23""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 19, ""median_residual"": 0.0, ""side"": ""all"", ""slope"": 1.1904544075255656e-15, ""target_y"": 156.5, ""x_max"": 210.0, ""x_min"": 192.0}, {""inlier_count"": 10, ""median_residual"": 8.526512829121202e-14, ""side"": ""left"", ""slope"": 6.7970022779025555e-15, ""target_y"": 156.49999999999994, ""x_max"": 201.0, ""x_min"": 192.0}, {""inlier_count"": 10, ""median_residual"": 9.947598300641403e-14, ""side"": ""right"", ""slope"": 3.304338333154339e-15, ""target_y"": 156.4999999999999, ""x_max"": 210.0, ""x_min"": 201.0}], ""local_columns"": 19, ""local_fit_residual_pixels"": 0.0, ""method"": ""auto_x_local_line_fit"", ""point"": [201.0, 156.49999999999991], ""score"": 1.0, ""search_window"": [192.0, 210.0], ""target_x"": 201.0, ""target_y"": 156.49999999999991, ""window_half_width"": 9.0}]","[{""bbox"": [28.0, 22.0, 93.0, 51.0], ""confidence"": 0.9999581499648622, ""pixel_y"": 36.5, ""text"": ""7,500"", ""value"": 7500.0}, {""bbox"": [28.0, 82.0, 93.0, 112.0], ""confidence"": 0.9999207246627938, ""pixel_y"": 97.0, ""text"": ""7,000"", ""value"": 7000.0}, {""bbox"": [28.0, 142.0, 93.0, 171.0], ""confidence"": 0.8155055888205627, ""pixel_y"": 156.5, ""text"": ""6,500"", ""value"": 6500.0}, {""bbox"": [28.0, 204.0, 93.0, 232.0], ""confidence"": 0.9999114482803017, ""pixel_y"": 218.0, ""text"": ""6,000"", ""value"": 6000.0}, {""bbox"": [28.0, 263.0, 93.0, 293.0], ""confidence"": 0.9999547912906603, ""pixel_y"": 278.0, ""text"": ""5,500"", ""value"": 5500.0}, {""bbox"": [28.0, 324.0, 93.0, 354.0], ""confidence"": 0.9999239767255157, ""pixel_y"": 339.0, ""text"": ""5,000"", ""value"": 5000.0}, {""bbox"": [28.0, 385.0, 93.0, 413.0], ""confidence"": 0.9999724376434119, ""pixel_y"": 399.0, ""text"": ""4,500"", ""value"": 4500.0}, {""bbox"": [28.0, 446.0, 93.0, 474.0], ""confidence"": 0.9999358654032026, ""pixel_y"": 460.0, ""text"": ""4,000"", ""value"": 4000.0}]",[6506.19342815233],6506.19342815233,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 6506.19342815233, ""option_values"": [[""A"", 5000.0, ""5,000 INR Mn""], [""B"", 5500.0, ""5,500 INR Mn""], [""C"", 6000.0, ""6,000 INR Mn""], [""D"", 6500.0, ""6,500 INR Mn""]], ""selected_option"": ""D""}",D,B,,0,1,0
2814,8f46428b48fcc63f72a9f86947b29c608a244480d04407fcf0341ebb46739084,line,numerical,difference,By how much did the stock price increase from January 2023 to January 2024?,x_grounding_unrecoverable | x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,10000,0.5,0,0,0
2845,b608ebdf11b1d0fa2c6e4641e0781b16c7d37a6c552329f6dcd396652e6ce610,line,numerical,growth_rate,What is the approximate percentage increase in the closing price of Quanta Computer from July 2021 to March 2024?,x_grounding_unrecoverable | x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,250,10.0,0,0,0
3020,e5e7467e82d20a041ad0a624e4d69e2106ef619337b21da6bc8e4753eba62bea,line,single_choice,direct,What was the approximate value of the UN Food and Agriculture Price Index in Dec 2018?,success,,"[""Dec2018""]",[null],"[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""global_robust_side_disagreement"", ""fitted_segments"": [{""inlier_count"": 91, ""median_residual"": 7.824279292016229, ""side"": ""all"", ""slope"": -1.0261992835526694, ""target_y"": 746.6888203497601, ""x_max"": 284.0, ""x_min"": 171.0}], ""local_columns"": 114, ""local_fit_residual_pixels"": 7.824279292016229, ""method"": ""auto_x_local_line_fit"", ""point"": [227.5, 746.6888203497601], ""score"": 0.11332370235660498, ""search_window"": [171.0, 284.0], ""target_x"": 227.5, ""target_y"": 746.6888203497601, ""window_half_width"": 56.32}]","[{""bbox"": [9.0, 97.0, 52.0, 134.0], ""confidence"": 0.6874567204965155, ""pixel_y"": 115.5, ""text"": ""31"", ""value"": 31.0}, {""bbox"": [9.0, 246.0, 57.0, 283.0], ""confidence"": 0.9999984827137908, ""pixel_y"": 264.5, ""text"": ""26"", ""value"": 26.0}, {""bbox"": [9.0, 393.0, 52.0, 430.0], ""confidence"": 1.0, ""pixel_y"": 411.5, ""text"": ""21"", ""value"": 21.0}, {""bbox"": [13.0, 541.0, 57.0, 579.0], ""confidence"": 0.9999957010241584, ""pixel_y"": 560.0, ""text"": ""16"", ""value"": 16.0}, {""bbox"": [11.0, 689.0, 54.0, 726.0], ""confidence"": 0.9999957010241584, ""pixel_y"": 707.5, ""text"": ""11"", ""value"": 11.0}, {""bbox"": [30.0, 841.0, 56.0, 874.0], ""confidence"": 0.9999980926522767, ""pixel_y"": 857.5, ""text"": ""6"", ""value"": 6.0}]",[9.708544588547095],9.708544588547095,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 9.708544588547095, ""option_values"": [[""A"", 11.0, ""11 USD/cwt""], [""B"", 14.0, ""14 USD/cwt""], [""C"", 17.0, ""17 USD/cwt""], [""D"", 20.0, ""20 USD/cwt""]], ""selected_option"": ""A""}",A,B,,0,1,0
3021,816025c1cd5d4559b5709d33e9fe5a6f2fd61b90ebaea1c1716ec73cc83e4800,line,numerical,direct,What was the EBITDA margin for 1QFY23?,success,,"[""1QFY23""]","[""1QFY23""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 44, ""median_residual"": 0.1223139329194396, ""side"": ""all"", ""slope"": -0.0625390640619999, ""target_y"": 185.37153265167944, ""x_max"": 681.0, ""x_min"": 635.0}, {""inlier_count"": 21, ""median_residual"": 0.12591572426717335, ""side"": ""left"", ""slope"": -0.06295786213358519, ""target_y"": 185.35712377795303, ""x_max"": 658.0, ""x_min"": 635.0}, {""inlier_count"": 24, ""median_residual"": 0.1161362520208229, ""side"": ""right"", ""slope"": -0.06749062213977917, ""target_y"": 185.44375121365653, ""x_max"": 681.0, ""x_min"": 658.0}], ""local_columns"": 47, ""local_fit_residual_pixels"": 0.1161362520208229, ""method"": ""auto_x_local_line_fit"", ""point"": [658.0, 185.4004374958048], ""score"": 0.8959479617201286, ""search_window"": [635.0, 681.0], ""target_x"": 658.0, ""target_y"": 185.4004374958048, ""window_half_width"": 22.08}]","[{""bbox"": [18.0, 18.0, 83.0, 43.0], ""confidence"": 0.9957453779181454, ""pixel_y"": 30.5, ""text"": ""25.0%"", ""value"": 25.0}, {""bbox"": [18.0, 98.0, 83.0, 125.0], ""confidence"": 0.9637002479904815, ""pixel_y"": 111.5, ""text"": ""20.0%"", ""value"": 20.0}, {""bbox"": [18.0, 180.0, 85.0, 205.0], ""confidence"": 0.9991824741086277, ""pixel_y"": 192.5, ""text"": ""15.0%"", ""value"": 15.0}, {""bbox"": [18.0, 260.0, 85.0, 286.0], ""confidence"": 0.9985685580430762, ""pixel_y"": 273.0, ""text"": ""10.0%"", ""value"": 10.0}, {""bbox"": [30.0, 340.0, 85.0, 366.0], ""confidence"": 0.925101101398468, ""pixel_y"": 353.0, ""text"": ""5.0%"", ""value"": 5.0}, {""bbox"": [28.0, 422.0, 83.0, 446.0], ""confidence"": 0.9966985960361432, ""pixel_y"": 434.0, ""text"": ""0.0%"", ""value"": 0.0}, {""bbox"": [23.0, 502.0, 83.0, 528.0], ""confidence"": 0.7107249671305771, ""pixel_y"": 515.0, ""text"": ""-5.0%"", ""value"": -5.0}]",[15.415627618523493],15.415627618523493,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 15.415627618523493}",15.415627618523493,16,3.0,1,1,1
3092,958fdd5ebfbdc532180207a2dbdbf7e1e1f06ba0f5159502ff504a87edb8fcea,line,single_choice,direct,What is the credit cost percentage for Navi Finserv in FY23?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,1,1
3098,574d54e8f376d65508c359c3519721b1fece4ddbd4de32f5831e7dd79e41ba15,line,numerical,growth_rate,Calculate the percentage increase in stock price from January 2022 to July 2023.,x_grounding_unrecoverable | x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,50,5.0,0,0,0
3119,0cdaa2822549c1e0f5670cafc5107a8464f9b773324665099865a39ccc91d18d,line,numerical,growth_rate,What is the percentage change in the P/E ratio for CEAT from 2022 to 2023?,ambiguous_series | ambiguous_series,x_grounding_or_line_fit,[],[],[],[],[],,{},,60,5.0,0,0,0
3237,ff2207b98bef949def145047a95f743705646b254158b9712626bf0dbcbc393d,line,numerical,growth_rate,What is the percentage increase in the number of licenses issued from October 2023 to January 2024?,success,,"[""October2023"", ""January2024""]","[null, ""Jan-24""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""global_robust_side_disagreement"", ""fitted_segments"": [{""inlier_count"": 19, ""median_residual"": 0.45993943062588016, ""side"": ""all"", ""slope"": -0.07665657177097814, ""target_y"": 215.3595193790973, ""x_max"": 452.0, ""x_min"": 429.0}], ""local_columns"": 24, ""local_fit_residual_pixels"": 0.45993943062588016, ""method"": ""auto_x_local_line_fit"", ""point"": [440.75, 215.3595193790973], ""score"": 0.6849599230094753, ""search_window"": [429.0, 452.0], ""target_x"": 440.75, ""target_y"": 215.3595193790973, ""window_half_width"": 11.16}, {""both_sides"": 0, ""chart_type"": ""line"", ""fit_mode"": ""global_robust"", ""fitted_segments"": [{""inlier_count"": 24, ""median_residual"": 6.590553262129518, ""side"": ""all"", ""slope"": -1.384728375104916, ""target_y"": 190.58161973703116, ""x_max"": 466.0, ""x_min"": 441.0}], ""local_columns"": 26, ""local_fit_residual_pixels"": 6.590553262129518, ""method"": ""auto_x_local_line_fit"", ""point"": [464.0, 190.58161973703116], ""score"": 0.13174270247060377, ""search_window"": [441.0, 482.0], ""target_x"": 464.0, ""target_y"": 190.58161973703116, ""window_half_width"": 22.32}]","[{""bbox"": [0.0, 12.0, 34.0, 37.0], ""confidence"": 0.7178921103477478, ""pixel_y"": 24.5, ""text"": ""200"", ""value"": 200.0}, {""bbox"": [0.0, 78.0, 32.0, 102.0], ""confidence"": 0.9995889853400863, ""pixel_y"": 90.0, ""text"": ""150"", ""value"": 150.0}, {""bbox"": [1.0, 142.0, 32.0, 166.0], ""confidence"": 0.9976627076400334, ""pixel_y"": 154.0, ""text"": ""100"", ""value"": 100.0}, {""bbox"": [7.0, 209.0, 34.0, 234.0], ""confidence"": 0.9995130700421996, ""pixel_y"": 221.5, ""text"": ""50"", ""value"": 50.0}]","[54.122304992997954, 73.03474849353788]",34.94389882874853,"{""executor"": ""python"", ""formula"": ""growth_rate"", ""numeric_answer"": 34.94389882874853}",34.94389882874853,20,3.0,0,0,0
3245,97bc89916b893db39495c9173dca85d49280d2810bf1e79fc130ec1892377bd4,bar,single_choice,direct,What was the GSPL transmission volume in 2QFY21?,x_axis_labels_unreadable_or_grouped_bars,bar_chart_analysis,[],[],[],[],[],,{},,B,,0,0,0
3287,7e29ab271fdb2e97d137b1dbe8d70944950aaf9b6d8211a913369a398f084ad1,bar,single_choice,direct,What is the percentage of PHEV in 2021?,x_axis_labels_unreadable_or_grouped_bars,bar_chart_analysis,[],[],[],[],[],,{},,B,,0,1,1
3311,d6252810aa97c732c50589e188c480f06afb24e0d3ddd07b681f3cff399bbbb9,line,single_choice,direct,What was the reported return on regulated equity for the year 2021?,success,,"[""2021""]","[""2021""]","[{""both_sides"": 0, ""chart_type"": ""line"", ""fit_mode"": ""global_robust"", ""fitted_segments"": [{""inlier_count"": 32, ""median_residual"": 0.012280323406926641, ""side"": ""all"", ""slope"": -0.0015350404258662415, ""target_y"": 157.03358730149955, ""x_max"": 159.0, ""x_min"": 128.0}], ""local_columns"": 32, ""local_fit_residual_pixels"": 0.012280323406926641, ""method"": ""auto_x_local_line_fit"", ""point"": [127.5, 157.03358730149955], ""score"": 0.9878686534520438, ""search_window"": [96.0, 159.0], ""target_x"": 127.5, ""target_y"": 157.03358730149955, ""window_half_width"": 31.13}]","[{""bbox"": [35.0, 147.0, 66.0, 165.0], ""confidence"": 0.4525674879550934, ""pixel_y"": 156.0, ""text"": ""1596"", ""value"": 1596.0}, {""bbox"": [35.0, 181.0, 66.0, 199.0], ""confidence"": 0.462655246257782, ""pixel_y"": 190.0, ""text"": ""1095"", ""value"": 1095.0}, {""bbox"": [42.0, 248.0, 65.0, 266.0], ""confidence"": 0.6270999062180473, ""pixel_y"": 257.0, ""text"": ""0%"", ""value"": 0.0}]",[1595.0770921923013],1595.0770921923013,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 1595.0770921923013, ""option_values"": [[""A"", 23.0, ""23%""], [""B"", 25.0, ""25%""], [""C"", 30.0, ""30%""], [""D"", 15.0, ""15%""]], ""selected_option"": ""C""}",C,B,,0,1,0
3314,9b1581bf72f70be8d68b92e9c9226411207f46ee6db10e14f3990c5f24adca12,bar,numerical,direct,How much did the deposit rate in Ireland change between July 2022 and December 2023?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,5,2.0,0,0,0
3353,202bdb375c8c29723ed53f542e723c37736205cce759220cbbeeac68544f2cc7,bar,single_choice,direct,What was the percentage of <2 ton MM in FY23?,direct_data_value_or_numeric_annotation_present,bar_chart_analysis,[],[],[],[],[],,{},,B,,0,1,1
3378,a35c0cdb8e5cbd8b6c8a3642a18d666fdd5912876fd5eb0f6ce096cfa843d726,bar,numerical,difference,What is the difference in stock levels between Jan-20 and Jan-22?,success,,"[""Jan-20"", ""Jan-22""]",[],"[{""bar_id"": ""bar_00"", ""bbox"": [354, 267, 8, 248]}, {""bar_id"": ""bar_01"", ""bbox"": [564, 294, 8, 222]}]","[{""bbox"": [0.0, 37.0, 79.0, 73.0], ""confidence"": 0.9322288509979114, ""pixel_y"": 55.0, ""text"": ""3,000"", ""value"": 3000.0}, {""bbox"": [0.0, 113.0, 79.0, 150.0], ""confidence"": 0.9998684249252456, ""pixel_y"": 131.5, ""text"": ""2,500"", ""value"": 2500.0}, {""bbox"": [0.0, 190.0, 79.0, 228.0], ""confidence"": 0.9925789622573835, ""pixel_y"": 209.0, ""text"": ""2,000"", ""value"": 2000.0}, {""bbox"": [0.0, 267.0, 79.0, 305.0], ""confidence"": 0.9998299862782228, ""pixel_y"": 286.0, ""text"": ""1,500"", ""value"": 1500.0}, {""bbox"": [0.0, 344.0, 79.0, 382.0], ""confidence"": 0.9971042891138497, ""pixel_y"": 363.0, ""text"": ""1,000"", ""value"": 1000.0}, {""bbox"": [23.0, 423.0, 78.0, 454.0], ""confidence"": 0.7849892744567127, ""pixel_y"": 438.5, ""text"": ""500"", ""value"": 500.0}, {""bbox"": [55.0, 504.0, 74.0, 527.0], ""confidence"": 0.9999980926522767, ""pixel_y"": 515.5, ""text"": ""0"", ""value"": 0.0}]","[1620.4920491594642, 1444.6387882240285]",175.85326093543563,"{""executor"": ""python"", ""formula"": ""difference"", ""numeric_answer"": 175.85326093543563}",175.85326093543563,800,10.0,0,0,0
